tag,conteudo,saida
ORGAO, Pleno,0
ORGAO, Vice Presidencia Processo n  2017 1148 ferias Requerente. Ana Florinda Mendonca da Silva Dantas Decisao 01.Trata se de expediente formulado pela magistrada Ana Florinda Mendonca da Silva Dantas. Juiza de Direito. titular da 22  Vara Civel da Capital. objetivando a transferencia de suas respectivas ferias designadas para o periodo de 03 09 2018 a 02 10 2018. a fi m de sejam usufruidas no periodo de 11 09 2018 a 10 10 2018. pelas razoes que expoe. 02.Informacoes do DECAD Divisao de Magistrados. devidamente acostadas aos autos. das quais se depreende inexistencia de obice ao quanto requerido. 03.Diante do exposto. defi ro o pedido. nos moldes em que formulado. 04.A Corregedoria Geral da Justica. para conhecimento. 05.Apos. a Diretoria Adjunta de Gestao de Pessoas. para anotacoes e arquivamento. 06.Publique se.Maceio. 29 de janeiro de 2018. Desembargador Otavio Leao Praxedes Presidente do Tribunal de Justica do Estado de Alagoas  Republicado por incorrecao,1
ORGAO, Gabinete da Presidencia,0
ORGAO, Diretoria de Precatorio e RPV   Presidencia,0
ORGAO, Conselho Estadual da Magistratura TRIBUNAL DE JUSTICA CONSELHO ESTADUAL DA MAGISTRATURA,0
ORGAO, CONSELHO ESTADUAL DA MAGISTRATURA EDITAL DE CONVOCACAO DE SESSAO EXTRAORDINARIA Torno publico. para ciencia dos interessados. que o Excelentissimo Senhor Desembargador Presidente Otavio Leao Praxedes. convoca. em carater extraordinario. 1  Sessao do Conselho Estadual da Magistratura. para as 9h. do dia 13  treze  do mes de abril do ano de 2018. no auditorio Des. Antonio Nunes de Araujo. Tribunal de Justica. Maceio. 03 de abril de 2018. Vinicius Madeiro de Araujo Secretario Geral CONSELHO ESTADUAL DA MAGISTRATURA,1
ORGAO, Direcao Geral,0
ORGAO, Subdirecao Geral SUBDIRECAO GERAL,0
ORGAO, SUBDIRECAO GERAL,0
ORGAO, Secao Especializada Civel TRIBUNAL DE JUSTICA DO ESTADO DE ALAGOAS SECAO ESPECIALIZADA CIVEL Ata da 1  Sessao Ordinaria Em 05 de marco de 2018. Aos 05  cinco  dias do mes de marco do ano de dois mil e dezoito. as 09  nove  horas e 30  trinta  minutos. no Plenario Desembargador Olavo Acioli de Moraes Cahet. situado no Tribunal de Justica do Estado de Alagoas sob a Presidencia do Excelentissimo Senhor Desembargador Celyrio Adamastor Tenorio Accioly. presentes os Exmos. Senhores. Desembargadora Elisabeth Carvalho Nascimento. Desembargador Pedro Augusto Mendonca de Araujo. Desembargador Alcides Gusmao da Silva. Desembargador Fernando Tourinho de Omena Souza. Desembargador Fabio Jose Bittencourt Araujo e Desembargador Domingos de Araujo Lima Neto. Ausentes. Desembargador Tutmes Airan de Albuquerque Melo. em virtude de suas ferias regulamentares. e Desembargador Klever Rego Loureiro. ausencia justifi cada. Havendo quorum. o Excelentissimo Desembargador Presidente declarou aberta a Sessao. Foi aprovada a Ata da 10.  Sessao Ordinaria. realizada aos quatro dias do mes de dezembro de dois mil e dezessete. Em virtude de advogados e partes presentes em sessao. foi determinado a inversao de pauta.,1
ORGAO, Camaras Civeis e Criminal,0
ORGAO, Gabinete dos Desembargadores,0
ORGAO, TRIBUNAL PLENO,0
ORGAO, Procuradoria do Poder Judiciario O Procurador Geral. Dr. Filipe Lobo Gomes. no uso de suas atribuicoes legais. despachou e encaminhou ao Excelentissimo Senhor Desembargador Presidente do Tribunal de Justica. o seguinte processo.,0
