tag,conteudo,saida
ORGAO,[['pleno']],0
ORGAO,"['desembargador': 0.0, 'juiza': 0.0, 'ana': 0.0, 'periodo': 0.013169446883230905, 'depreender': 0.0, 'magistrado': 0.013169446883230905, 'usufruido': 0.0, 'razoar': 0.0, 'praxedes': 0.0, 'direito': 0.0, 'expediente': 0.0, 'objetivando': 0.0, 'otavio': 0.0, '.informacoes': 0.0, 'presidencia': 0.0, 'presidente': 0.0, 'titular': 0.0, 'expor': 0.0, 'respectivo': 0.0, 'adjunto': 0.0, 'varar': 0.0, 'justica': 0.013169446883230905, 'leao': 0.0, 'florinda': 0.0, 'expoe': 0.0, 'dantas': 0.0, 'arquivamento': 0.0, 'mendonca': 0.0, 'estar': 0.0, 'requerente': 0.0, 'capital': 0.0, 'pessoa': 0.0, '.trata': 0.0, 'ro': 0.0, 'civel': 0.0, 'designar': 0.0, 'formular': 0.0052677787532923615, 'silvar': 0.0, 'viar': 0.0, 'republicar': 0.0, 'auto': 0.0, 'inexistencia': 0.0, 'obice': 0.0, 'incorrecao': 0.0, 'divisao': 0.0, 'ferir': 0.01755926251097454, 'acostar': 0.0, 'fazer': 0.0, 'devidamente': 0.0, 'defi': 0.0, 'geral': 0.0, 'decad': 0.0, 'processar': 0.0, '.diante': 0.0, 'tribunal': 0.0, 'decisao': 0.0, 'requerer': 0.0, 'transferencia': 0.0, '.a': 0.0, 'quantum': 0.0, 'gestao': 0.0, 'm': 0.0, 'n': 0.0, 'molde': 0.0, 'corregedoria': 0.0, 'anotacoes': 0.0, 'pedir': 0.0, 'diretoria': 0.0, 'alagoa': 0.0]",1
ORGAO,"['gabinete': 0.0, 'presidencia': 0.0]",0
ORGAO,"['precatorio': 0.0, 'diretoria': 0.0, 'presidencia': 0.0, 'rpv': 0.0]",0
ORGAO,"['tribunal': 0.0, 'magistratura': 0.0, 'conselho': 0.0, 'justica': 0.0, 'estadual': 0.0]",0
ORGAO,"['araujo': 0.04369747899159664, 'desembargador': 0.0, 'madeirar': 0.0, 'extraordinario': 0.0, 'extraordinaria': 0.0, 'sessao': 0.0, 'praxedes': 0.0, 'h.': 0.0, 'excelentissimo': 0.0, 'otavio': 0.0, 'auditorio': 0.0, 'convocacao': 0.0, 'presidente': 0.0, 'nunes': 0.0, 'estadual': 0.02352941176470588, 'justica': 0.0, 'leao': 0.0, 'vinicius': 0.0, 'conselho': 0.02352941176470588, 'ciencia': 0.0, 'secretariar': 0.0, 'ano': 0.0, 'edital': 0.0, 'abril': 0.0, 'publicar': 0.0, 'magistratura': 0.02352941176470588, 'mes': 0.0, 'geral': 0.0, 'tribunal': 0.0, 'senhor': 0.0, 'interessar': 0.0, 'des': 0.0, 'dia': 0.0, 'carater': 0.0, 'tornar': 0.0, 'antonio': 0.0]",1
ORGAO,"['direcao': 0.0, 'geral': 0.0]",0
ORGAO,"['subdirecao': 0.0, 'geral': 0.0]",0
ORGAO,"['subdirecao': 0.0, 'geral': 0.0]",0
ORGAO,"['araujo': 0.002848101265822785, 'desembargador': 0.517932489451477, 'sob': 0.0, 'omena': 0.0, 'marcar': 0.1569620253164557, 'especializar': 0.0, 'ano': 0.0, 'pedrar': 0.0, 'ordinaria': 0.0, 'fernando': 0.0, 'sessao': 0.18639240506329113, 'virtude': 0.043037974683544304, 'excelentissimo': 0.008438818565400845, 'accioly': 0.0, 'presidencia': 0.0, 'acioli': 0.0, 'jose': 0.0, 'presente': 0.021835443037974685, 'nascimento': 0.0, 'tourinho': 0.0, 'cincar': 0.0, 'dezembro': 0.0, 'inversao': 0.0, 'justica': 0.044198312236286924, 'cahet': 0.0, 'tribunal': 0.044198312236286924, 'aprovar': 0.0, 'loureiro': 0.0, 'declarar': 0.0, 'mendonca': 0.0, 'estar': 0.044198312236286924, 'gusmao': 0.0, 'neto': 0.0, 'olavo': 0.0, 'regulamentar': 0.0, 'civel': 0.0, 'moraes': 0.0, 'dia': 0.03132911392405063, 'tenorio': 0.0, 'silvar': 0.0, 'fabio': 0.0, 'klever': 0.0, 'airan': 0.0, 'secao': 0.0, 'augusto': 0.0, 'situar': 0.0, 'presidente': 0.0, 'bittencourt': 0.0, 'dezessete': 0.0, 'advogar': 0.0, 'dezoito': 0.0, 'alcides': 0.0, 'exmo': 0.0, 'minuto': 0.0, 'elisabeth': 0.0, 'mes': 0.03132911392405063, 'souza': 0.0, 'atar': 0.021835443037974685, 'ausencia': 0.0, 'quorum': 0.0, 'realizar': 0.0, 'carvalho': 0.0, 'senhor': 0.0, 'trintar': 0.0, 'aberto': 0.0, 'celyrio': 0.0, 'determinar': 0.0, 'limar': 0.0, 'plenario': 0.0, 'pautar': 0.0, 'melar': 0.0, 'justifi': 0.0, 'partir': 0.0, 'ferir': 0.0, 'horar': 0.0, 'adamastor': 0.0, 'regar': 0.0, 'tutmes': 0.0, 'domingo': 0.0, 'haver': 0.0, 'alagoa': 0.044198312236286924]",1
